Place,Bib,Name,Time,Gender
226,57163,Tshedza MUNYAI,06:49:44,Male
227,44658,Peter MOLOTO,06:49:44,Male
228,44316,Siyabonga DLADLA,06:49:44,Male
229,8987,Nhlanhla Phillip MTHEMBU,06:50:04,Male
230,21620,Siphiwe MASHIANE,06:50:04,Male
231,32633,Yanga MLAMBO,06:50:19,Male
232,45328,Mandlenkosi Paul MADONDO,06:50:30,Male
233,25677,Sifiso SHANGE,06:50:47,Male
234,36748,Jonathan DE SOUZA,06:51:14,Male
235,21558,Siyabonga NGCOBO,06:51:14,Male
236,31054,Michael STOCKS,06:51:16,Male
237,8107,Ignatius GOREJENA,06:51:23,Male
238,33635,Sibusiso RAMBUZA,06:51:27,Male
239,53191,Macaleni MAHLANGU,06:51:32,Male
240,57887,Marnie PONTON,06:51:40,Female
241,21570,Jacky MOTIMELE,06:51:54,Male
242,5353,Thebeetsile KGASWANE,06:52:05,Male
243,52512,Gcobani M SITSHEKE,06:52:07,Male
244,6473,Paseka NGCANA,06:52:14,Male
245,42175,Mholi JALI,06:52:18,Male
246,22972,Thinus WILKEN,06:52:32,Male
247,26067,Mbongeleni Phakamani XIMBA,06:52:40,Male
248,34579,Justin KOWALSKI,06:52:52,Male
249,54010,Mbongeni NDLOVU,06:53:00,Male
250,34487,Carol SMITH,06:53:00,Female
251,34573,Shenyana NKOMO,06:53:06,Male
252,38170,Teboho Simon MOKOENA,06:53:06,Male
253,47640,Paul KASU,06:53:37,Male
254,52714,Olebogeng MASIRE,06:53:51,Male
255,51023,Nimrod KOBENI,06:53:52,Male
256,20135,Shane MCGREGOR,06:53:52,Male
257,27207,Lesley CHIFUMBI,06:53:58,Male
258,57452,Zama MNDIYATA,06:53:59,Male
259,16357,Thabisho BONTSI,06:54:10,Male
260,45015,Lovers HLATSHWAYO,06:54:10,Male
261,20518,Nkosana KUNENE,06:54:13,Male
262,48267,Michael GARNETT,06:54:23,Male
263,33689,Chad RICKLEFS,06:54:30,Male
264,33526,Siyabulela MQWEBI,06:54:39,Male
265,35471,Hitekani SHIKWAMBANA,06:54:50,Male
266,44992,Jochem MELIS,06:54:51,Male
267,16392,Ndumiso KHOZA,06:54:53,Male
268,32110,Jeannie HENDERSON,06:54:53,Female
269,28723,Leslie TROLLOPE,06:54:55,Male
270,38449,Yolande MACLEAN,06:54:58,Female
271,36927,Louisa ROBBINS,06:54:58,Female
272,42567,Thabo MANKWE,06:55:05,Male
273,25122,Menzi MTOLO,06:55:10,Male
274,20473,Lucky MIYA,06:55:14,Male
275,28882,Mqapheli Enock MAHLOBO,06:55:16,Male
276,46066,Modupinyana MDALANA,06:55:25,Male
277,45347,Eric DOL,06:55:25,Male
278,12290,Clinton PARKER,06:55:37,Male
279,29665,Sbonelo Siyanda MKHIZE,06:55:40,Male
280,40341,Dean JOFFE,06:55:42,Male
281,34534,Jaco EBERTSOHN,06:55:44,Male
282,22559,Ndumiso TSHENTULA,06:55:52,Male
283,37442,Kopano MUSO,06:55:55,Male
284,10917,Mokibelo MASOGO,06:56:02,Male
285,58377,Skhumbuzo MPANZA,06:56:09,Male
286,36850,Maretha SMIT,06:56:10,Female
287,13952,Nick PAWLEY,06:56:10,Male
288,28703,Sphamandla Petros MKHEANAZI,06:56:11,Male
289,50133,Stephen SIZIBA,06:56:13,Male
290,36186,Khutso Liberty MOGASHOA,06:56:30,Male
291,45126,Titus APITALA,06:56:40,Male
292,27153,Wiseman MSEZANE,06:56:40,Male
293,45047,Modibe Ludwick MAMABOLO,06:56:53,Male
294,26581,Sibongile Luca BOYANA,06:56:53,Male
295,21365,Thomas Linda CEBEKHULU,06:56:53,Male
296,27310,Michael Lefa TLOU,06:57:10,Male
297,45186,Elliott PREATER,06:57:12,Male
298,33839,Richard BULL,06:57:14,Male
299,55292,Ilse MARAIS,06:57:15,Female
300,20011,Renier BARNARD,06:57:22,Male
301,30126,Pieter SWANEPOEL,06:57:22,Male
302,19304,Bradley SCHOLTZ,06:57:30,Male
303,7068,Ntakuseni MUDAU,06:57:31,Male
304,33438,Kabelo KEAITSHEKA,06:57:38,Male
305,51943,Nathan FLEAR,06:57:41,Male
306,36159,Bhekithemba NQOKO,06:57:50,Male
307,23374,Matheko Elliot MPE,06:57:55,Male
308,11436,Kwasi ABABIO,06:58:08,Male
309,54281,Robert ARTHUR,06:58:08,Male
310,11008,Vusimuzi SOKHELA,06:58:23,Male
311,18797,Shellboy MAVUSO,06:58:24,Male
312,17361,Conrad WATT,06:58:26,Male
313,43781,Aron MAHLANGU,06:58:27,Male
314,37908,Sibusiso DUBE,06:58:37,Male
315,13825,Keketso SELLO,06:58:43,Male
316,12077,Andrew BLAKE,06:58:53,Male
317,48899,Mzamani VALOYI,06:59:06,Male
318,28740,Lentikile KGASWANE,06:59:12,Male
319,29121,Renata VOSLOO,06:59:17,Female
320,53224,Lindile MZELE,06:59:17,Male
321,46262,David LONG,06:59:24,Male
322,43101,Maphephe PEETE,06:59:32,Male
323,54048,Janie GRUNDLING,06:59:36,Female
324,17921,Magama NGCOBO,06:59:41,Male
325,51707,Mosongo MOKOATSI,06:59:45,Male
326,36087,Clive MOLIFI,06:59:46,Male
327,15264,Stephen MADIYE,07:00:26,Male
328,6020,Sanele XIMBA,07:00:26,Male
329,53801,Mlungisi Gibson NYEMBEZI,07:00:51,Male
330,53378,Sibonelo GUMEDE,07:01:04,Male
331,14749,Sanele MATHENJWA,07:01:16,Male
332,33341,Nobert CHIPIKA,07:01:16,Male
333,28446,Nhlakanipho NDLOVU,07:01:20,Male
334,45917,Thabani VEZI,07:01:23,Male
335,50293,Henry DRAKE,07:01:28,Male
336,5757,Melinda JANSEN VAN VUUREN,07:01:36,Female
337,24647,Jackie KELLERMAN,07:01:42,Female
338,31269,Herbert MOKGALA,07:01:43,Male
339,33680,Senzeni THOMAS,07:01:48,Male
340,28133,Thapelo LESENYANE,07:01:53,Male
341,53632,Phumlani MASUKU,07:01:58,Male
342,32569,Troy DE LA HARPE,07:02:01,Male
343,14314,Jonas MAKHELE,07:02:11,Male
344,18002,Philani MAKHOBA,07:02:14,Male
345,20038,Ntshengedzeni MASUPA,07:02:19,Male
346,29483,Timothy MUNZHELELE,07:02:25,Male
347,44846,Richard WRAITH,07:02:29,Male
348,55295,Phusudi Joseph MAKGAMATHA,07:02:30,Male
349,42437,Sivuyile NOXHAKA,07:02:39,Male
350,21075,Lene SWART,07:02:44,Female
351,47663,Nhlanhla YENDE,07:02:49,Male
352,41876,Nyawo SIYABONGA,07:02:49,Male
353,57497,Andrew ERASMUS,07:03:03,Male
354,58153,Butho W NSINGO,07:03:17,Male
355,59314,Tumelo MOSIA,07:03:19,Male
356,22923,Ntsako MALULEKE,07:03:22,Male
357,48338,Masinge STEVEN HLENGANI,07:03:22,Male
358,18284,Madimetsa David MOTHAPO,07:03:31,Male
359,54322,Anele GWAMA,07:03:33,Male
360,40474,Nicholas WILKINSON,07:03:36,Male
361,44650,Calvin MOZIMBA,07:03:39,Male
362,59916,George DARDEN,07:03:40,Male
363,41180,Ntobeko MASOKA,07:03:44,Male
364,59080,Thubelihle MAKHANYA,07:03:57,Male
365,34259,Devarao CHOUDHARI,07:04:10,Male
366,41274,Gina POCOCK,07:04:13,Female
367,28335,Muzi NDLELA,07:04:24,Male
368,52929,Daniel JENNER,07:04:34,Male
369,44220,Elias MULACHEQUE,07:04:45,Male
370,9867,David GAMEDE,07:04:45,Male
371,16366,Damian WILL,07:04:55,Male
372,56585,Jane Albert WILLIAMS,07:04:57,Male
373,15340,Moris Thamsanqa MBANJWA,07:05:07,Male
374,29815,Andries MALETE,07:05:16,Male
375,28485,Gerhard STEYN,07:05:26,Male
376,25204,Matthew LYNAS,07:05:32,Male
377,55780,Fikile Fundisiwe MBUTHUMA,07:05:33,Female
378,10948,David ZHUWAO,07:05:41,Male
379,11321,Niel NEETHLING,07:05:45,Male
380,43297,Nathi DLAMINI,07:05:45,Male
381,51497,Melusi MTHEMBU,07:05:47,Male
382,28863,Thamsanqa ZONDI,07:05:47,Male
383,57996,Tshinyadzo MPHEPHU,07:05:49,Male
384,10965,Daniella MORRISON-JONES,07:05:51,Female
385,42942,Mandla MBONANI,07:05:54,Male
386,59941,Dludlu PHUMLANI,07:06:01,Male
387,11472,Tebogo MOKUBUNG,07:06:07,Male
388,44756,Sikhumbuzo NHLENGETHWA,07:06:08,Male
389,25022,Mzwakhe KHANYILE,07:06:10,Male
390,46868,Mzuvukile DYASI,07:06:14,Male
391,30687,Sfiso NDLOVU,07:06:21,Male
392,23841,Warren KELLY,07:06:30,Male
393,51475,Best NGWENYA,07:06:31,Male
394,17346,Chad TOOHEY,07:06:32,Male
395,56765,Sphamandla NYEMBE,07:06:38,Male
396,37563,Jorge MARQUES,07:06:39,Male
397,23023,David CHAPLIN,07:06:41,Male
398,33483,Cobie SMITH,07:06:41,Female
399,21179,Gary HILL,07:06:41,Male
400,12915,Greg CHAPLIN,07:06:42,Male
401,13985,Peter JACOBS,07:06:42,Male
402,59983,Sifiso MASANGO,07:06:54,Male
403,56989,Esayas Yainshet TESFAMARIAM,07:06:56,Male
404,16192,Marno VAN DER MEULEN,07:06:56,Male
405,42748,Bongani MSIMANGO,07:07:03,Male
406,11237,Ben DE KLERK,07:07:14,Male
407,43126,Simamkele Owen MAVANA,07:07:21,Male
408,7600,Lindani BUSO,07:07:23,Male
409,50684,Dumsani DLAMINI,07:07:27,Male
410,7656,Thabo MATSEPE,07:07:29,Male
411,47263,Sebaka RAMAREMELA,07:07:30,Male
412,42716,Hermann ACHMUELLER,07:07:32,Male
413,24375,Sthembiso MTHEMBU,07:07:35,Male
414,45023,Warren KIDGELL,07:07:39,Male
415,33699,Katiso POSSA,07:07:42,Male
416,48005,Simphiwe Isaac ZONDI,07:07:42,Male
417,41307,Masonwabe BOSIKI,07:08:06,Male
418,31762,Frans Thabana PHETLA,07:08:08,Male
419,29064,Potso KHOMO,07:08:11,Male
420,50472,Motsamai RANTHO,07:08:24,Male
421,52015,Aphelele MTAYISE,07:08:24,Male
422,37250,Banele KHALI,07:08:24,Male
423,17385,Sicelo NDABA,07:08:28,Male
424,57246,Sam MUNYAI,07:08:34,Male
425,18049,Muntu KHULU,07:08:34,Male
426,22240,Theo ADAMS,07:08:42,Male
427,50931,Benjamin HOSEUS,07:09:00,Male
428,11913,Thuso Paul KEKANA,07:09:20,Male
429,45979,Cebisa SOMCHIZA,07:09:20,Male
430,52337,Malose MOTHOKOA,07:09:30,Male
431,52636,Brian LYONS,07:09:42,Male
432,25496,Patrick MBEDZI,07:09:44,Male
